Word,Count,Reading,JLPT Level,Meaning
ころ,1,コロ,jlpt-n3,(approximate) time
延ばす,1,ノバス,jlpt-n3,"to grow long (e.g. hair, nails)"
開く,1,ヒラク,jlpt-n4,to open
人形,1,ニンギョウ,jlpt-n4,doll
造,1,ミヤツコ,jlpt-n2,to make
捏ねる,1,コネル,unknown,to knead
疑る,1,ウタグル,unknown,to doubt
實,1,ミノル,jlpt-n3,indeed
暮方,1,クレガタ,unknown,evening
かすか,1,カスカ,jlpt-n1,faint
さす,1,サス,jlpt-n5,to shine
當然,1,*,unknown,unknown
吹く,1,フク,jlpt-n5,to blow (of the wind)
遠慮ない,1,エンリョナイ,unknown,unreserved
寒い,1,サムイ,jlpt-n5,cold (e.g. weather)
欲しい,1,ホシイ,jlpt-n5,wanting (to have)
火桶,1,ヒオケ,unknown,wooden brazier
冷え,1,ヒエ,unknown,chilliness
立,1,タツ,jlpt-n2,to stand (up)
うに,1,ウニ,unknown,sea urchin
大儀,1,タイギ,unknown,state ceremony
嚏,1,*,jlpt-n2,sneeze
積極,1,セッキョク,unknown,active
その後,1,ソノゴ,unknown,after that
かた,1,カタ,jlpt-n3,shoulder
窺,1,*,jlpt-n2,"to peek (through a keyhole, gap, etc.)"
結局,1,ケッキョク,jlpt-n3,after all
たつ,1,タツ,jlpt-n2,to stand (up)
何時,1,イツ,jlpt-n1,when
逢着,1,ホウチャク,unknown,encountering
局所,1,キョクショ,unknown,part
揚句,1,アゲク,unknown,after (a long process)
低徊,1,テイカイ,unknown,pacing back and forth meditatively
道,1,ミチ,jlpt-n5,road
度,1,ド,jlpt-n3,"degree (angle, temperature, scale, etc.)"
しまふ,1,シマフ,unknown,Blakiston's fish owl (Bubo blakistoni)
犬,1,イヌ,jlpt-n5,dog (Canis (lupus) familiaris)
道ばた,1,ミチバタ,unknown,roadside
ぬける,1,ヌケル,jlpt-n3,to come out
山吹,1,ヤマブキ,unknown,kerria (Kerria japonica)
汗,1,アセ,jlpt-n3,sweat
衫,1,*,unknown,unknown
容子,1,ヨウス,jlpt-n3,state (of affairs)
殺す,1,コロス,jlpt-n3,to kill
身,1,ミ,jlpt-n3,one's body
猫,1,ネコ,jlpt-n5,"cat (esp. the domestic cat, Felis catus)"
中段,1,チュウダン,unknown,half-way up a slope or stairway
ふむ,1,フム,jlpt-n4,to step on
はく,1,ハク,jlpt-n3,"to put on (lower-body clothing, e.g. pants, skirt, footwear)"
草履,1,ゾウリ,jlpt-n2,zori
藁,1,ワラ,jlpt-n1,straw
鞘走る,1,サヤバシル,unknown,to slip out of one's scabbard (of swords)
さげる,1,サゲル,jlpt-n4,to hang
腰,1,コシ,jlpt-n3,lower back
塗,1,ヌリ,unknown,coating (esp. lacquering)
幸,1,コウ,unknown,good luck
あか,1,アカ,jlpt-n5,red
ルビ,1,ルビ,unknown,ruby
［＃,1,［,unknown,unknown
明,1,アキラ,unknown,vidya (wisdom)
ねる,1,ネル,jlpt-n5,to sleep (lying down)
樂,1,*,unknown,paradise
晩,1,バン,jlpt-n5,evening
惧,1,*,jlpt-n3,to fear
人目,1,ヒトメ,jlpt-n1,(public) notice
患,1,*,jlpt-n3,patient
雨風,1,アメカゼ,unknown,rain and wind
九月,1,クガツ,unknown,September
