Word,Count,Reading,JLPT Level,Meaning
間,2,マ,jlpt-n4,space (between)
音,2,オト,jlpt-n4,sound
滿,2,ミツル,jlpt-n3,satisfaction
的,2,テキ,jlpt-n1,-ical
夕闇,2,ユウヤミ,unknown,dusk
甍,2,イラカ,unknown,roof tile
底本,2,テイホン,unknown,original text
分の,2,ブンノ,unknown,-th (e.g. one fifth)
爲,2,*,jlpt-n4,good
手段,2,シュダン,jlpt-n3,means
つける,2,ツケル,jlpt-n3,to attach
肯定,2,コウテイ,jlpt-n2,affirmation
あつい,2,アツイ,jlpt-n5,hot (to the touch)
鞘,2,サヤ,unknown,scabbard
やつ,2,ヤツ,unknown,fellow
暗い,2,クライ,jlpt-n5,dark
唖,2,オシ,unknown,muteness
どこ,2,ドコ,jlpt-n1,where
考へる,2,カンガヘル,unknown,unknown
急,2,キュウ,jlpt-n4,sudden
奪,2,ダツ,jlpt-n3,to take (by force)
強い,2,ツヨイ,jlpt-n5,strong
挿す,2,サス,jlpt-n2,to insert
這,2,*,jlpt-n5,to enter
内,2,ウチ,jlpt-n4,inside
覗く,2,ノゾク,jlpt-n2,"to peek (through a keyhole, gap, etc.)"
掩,2,*,jlpt-n3,to cover
幾つ,2,イクツ,jlpt-n3,how many
數,2,*,unknown,several times
檜,2,ヒノキ,unknown,hinoki cypress (Chamaecyparis obtusa)
わかる,2,ワカル,jlpt-n2,to understand
げ,2,ゲ,unknown,seeming
裸,2,ハダカ,jlpt-n3,nakedness
皆,2,ミナ,jlpt-n4,everyone
はげしい,2,ハゲシイ,jlpt-n3,violent
兩手,2,*,unknown,unknown
部分,2,ブブン,jlpt-n3,portion
づゝ,2,*,unknown,unknown
本,2,ホン,jlpt-n5,book
頭,2,アタマ,jlpt-n5,head
喘ぐ,2,アエグ,unknown,to gasp
頸,2,*,jlpt-n4,neck
一つ,2,ヒトツ,jlpt-n5,one
め,2,メ,jlpt-n5,eye
そこ,2,ソコ,jlpt-n1,there (place relatively near listener)
腕,2,ウデ,jlpt-n4,arm
かす,2,カス,jlpt-n5,to lend
思,2,*,jlpt-n4,to think
幅,2,ハバ,jlpt-n3,width
之,2,コレ,jlpt-n1,this
こむ,2,コム,jlpt-n4,to be crowded
顏,2,*,unknown,face
聖,2,キヨシ,unknown,Saint
肌色,2,ハダイロ,unknown,flesh colour (of a Japanese person)
分,2,ブン,jlpt-n3,part
後,2,ノチ,jlpt-n3,after
息,2,イキ,jlpt-n3,breath
短い,2,ミジカイ,jlpt-n5,short
白,2,シロ,jlpt-n5,white
膿,2,ウミ,unknown,pus
飛ぶ,2,トブ,jlpt-n2,to fly
許す,2,ユルス,jlpt-n3,to permit
ともす,2,トモス,unknown,"to light (a candle, lamp, etc.)"
暫,2,*,jlpt-n4,for a moment
日,2,ヒ,jlpt-n3,Sunday
恐怖,2,キョウフ,jlpt-n3,fear
衰微,2,スイビ,unknown,decline
紺,2,コン,jlpt-n2,navy blue
剥ぐ,2,ハグ,jlpt-n1,to tear off
料,2,リョウ,jlpt-n1,fee
とつ,2,トツ,unknown,convex
重ねる,2,カサネル,jlpt-n2,to pile up
襖,2,フスマ,jlpt-n2,fusuma
書く,2,カク,jlpt-n5,to write
へる,2,ヘル,jlpt-n3,to decrease (in size or number)
丹,2,ニ,unknown,red earth (i.e. containing cinnabar or minium)
つぶやく,2,ツブヤク,jlpt-n1,to mutter
舊記,2,*,unknown,unknown
方,2,ホウ,jlpt-n3,direction
洛中,2,ラクチュウ,unknown,inside the capital
五,2,ゴ,jlpt-n5,five
暇,2,ヒマ,jlpt-n1,spare time
干る,2,ヒル,unknown,to dry (up)
魚,2,サカナ,jlpt-n3,fish
白い,2,シロイ,jlpt-n5,white
ひる,2,ヒル,jlpt-n5,noon
羽,2,ハネ,jlpt-n3,feather
はり,2,ハリ,jlpt-n3,needle
啼く,2,ナク,jlpt-n5,to make sound (of an animal)
處,2,*,jlpt-n5,place
つたの,2,ツタノ,unknown,Penepatella stellaeformis (species of limpet)
夕,2,ユウ,jlpt-n3,evening
缺,2,*,unknown,lack
帶,2,*,jlpt-n3,obi (kimono sash)
今日,2,キョウ,jlpt-n3,today
崩れ,2,クズレ,unknown,crumbling
死ぬ,2,シヌ,jlpt-n5,to die
棲む,2,スム,unknown,to live (of animals)
へた,2,ヘタ,jlpt-n5,unskillful
石段,2,イシダン,unknown,(flight of) stone steps
町,2,マチ,jlpt-n3,town
話,2,ハナシ,jlpt-n5,talk
くれる,2,クレル,jlpt-n4,to get dark
子,2,コ,jlpt-n4,child
圓,2,エン,jlpt-n3,yen (Japanese monetary unit)
はれる,2,ハレル,jlpt-n5,to clear up
蟋蟀,2,コオロギ,unknown,cricket (Gryllidae spp.)
使,2,シ,unknown,messenger
年,2,トシ,jlpt-n5,year
られる,2,ラレル,unknown,"indicates passive voice (incl. the ""suffering passive"")"
さうない,2,サウナイ,unknown,unknown
丹塗,2,ニヌリ,unknown,painting red
大路,2,オオジ,unknown,main street (esp. in a capital)
所々,2,トコロドコロ,jlpt-n2,here and there
朱雀,2,スジャク,unknown,Vermilion Bird (god said to rule over the southern heavens)
風,2,カゼ,jlpt-n5,wind
空,2,ソラ,jlpt-n5,sky
失望,2,シツボウ,jlpt-n3,disappointment
嘲る,1,アザケル,unknown,to scoff
合理,1,ゴウリ,jlpt-n2,rationality
完,1,カン,unknown,The End
勢,1,ゼイ,jlpt-n3,force
念,1,ネン,jlpt-n1,sense
押す,1,オス,jlpt-n5,to push
追,1,ツイ,jlpt-n3,to catch up (with)
憎む,1,ニクム,jlpt-n2,to hate
強盗,1,ゴウトウ,jlpt-n3,robber
一足,1,イッソク,unknown,a pair (of shoes or socks)
冐,1,*,unknown,unknown
たる,1,タル,jlpt-n2,to be sufficient
不意,1,フイ,jlpt-n1,sudden
未練,1,ミレン,jlpt-n1,lingering attachment
きつい,1,キツイ,jlpt-n3,tough
たより,1,タヨリ,jlpt-n3,news
善,1,ゼン,jlpt-n3,good
何れ,1,イズレ,jlpt-n3,which (of three or more)
一目,1,イチモク,jlpt-n1,glance
生まれる,1,ウマレル,jlpt-n5,to be born
驚く,1,オドロク,jlpt-n4,to be surprised
捕る,1,トル,jlpt-n2,"to catch (a wild animal, fish, insect, baseball, etc.)"
反,1,ハン,unknown,anti-
る,1,ル,unknown,verb-forming suffix
歩む,1,アユム,jlpt-n1,to walk
急ぐ,1,イソグ,jlpt-n4,to hurry
大股,1,オオマタ,unknown,spreading one's legs wide apart
方向,1,ホウコウ,jlpt-n3,direction
入れる,1,イレル,jlpt-n5,to put in
迷,1,*,jlpt-n2,superstition
